Block,Week,Day,Workout,Exercise,Sets,Reps,RPE/%1RM,Rest,Notes,LSRPE,Alternate Exercise
Block 1,2,1,LOWER #1,CABLE STANDING GLUTE KICKBACK,2,12-15,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 1,2,1,LOWER #1,SEATED HIP ABDUCTION MACHINE,2,20-25,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,ANKLE WEIGHT STANDING HIP ABDUCTION
Block 1,2,1,LOWER #1,BICYCLE CRUNCH,3,15-20,8RPE,1MIN,"DON'T YANK YOUR NECK",,CRUNCH
Block 1,2,2,LOWER #2,DEADLIFT,4,4,77.5%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG DEADLIFT
Block 1,2,2,LOWER #2,FRONT SQUAT,3,10-12,8RPE,3MIN,"SIT STRAIGHT DOWN",,GOBLET SQUAT
Block 1,2,2,LOWER #2,KNEE-BANDED BODYWEIGHT HIP THRUST,2,25-30,8RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED DUMBBELL HIP THRUST
Block 1,2,2,LOWER #2,SEATED LEG CURL,3,10-12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
Block 1,2,2,LOWER #2,LATERAL BAND WALK,3,20,8RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 1,2,2,LOWER #2,MACHINE SEATED HIP ABDUCTION,3,15,7RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,2,3,UPPER #1,DUMBBELL STANDING SHOULDER PRESS,4,8-10,8RPE,2MIN,"USE A FULL ROM",,DUMBBELL SEATED SHOULDER PRESS
Block 1,2,3,UPPER #1,NARROW NEUTRAL-GRIP PULLDOWN,4,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SUPINATED PULLDOWN
Block 1,2,3,UPPER #1,CLOSE-GRIP PUSH-UP,3,8-10,7RPE,2MIN,"TUCK YOUR ELBOWS",,MACHINE CHEST PRESS
Block 1,2,3,UPPER #1,CABLE SEATED ROW,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,MACHINE HIGH ROW
Block 1,2,3,UPPER #1,A1: DUMBBELL LATERAL RAISE,3,15,9RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,MACHINE LATERAL RAISE
Block 1,2,3,UPPER #1,A2: DUMBBELL REAR DELT RAISE,3,15,9RPE,2MIN,"KEEP YOUR SCAPULAE PROTRACTED",,REVERSE PEC DECK
Block 1,2,3,UPPER #1,SEATED FACE PULL,3,15-20,9RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,PRONE TRAP RAISE
Block 1,2,3,UPPER #1,B1: SINGLE-ARM CABLE CURL,2,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,DUMBBELL SUPINATED CURL
Block 1,2,3,UPPER #1,B2: OVERHEAD CABLE TRICEP EXTENSION,2,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,1-ARM OVERHEAD DUMBBELL EXTENSION
Block 1,2,4,LOWER #3,DEFICIT BODYWEIGHT BULGARIAN SPLIT SQUAT,3,10-12,7RPE,2MIN,"FOCUS ON STRETCHING YOUR GLUTES",,DUMBBELL STEP-UP
Block 1,2,4,LOWER #3,SMITH MACHINE HIP THRUST,3,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,LEG EXTENSION HIP THRUST
Block 1,2,4,LOWER #3,BODYWEIGHT REVERSE HYPEREXTENSION,3,15-20,8RPE,2MIN,"SQUEEZE YOUR GLUTES TO RAISE YOUR LEGS",,BAND GLUTE KICKBACK
Block 1,2,4,LOWER #3,45° HYPEREXTENSION,3,12-15,7RPE,2MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,BACK EXTENSION
Block 1,2,4,LOWER #3,BAND SEATED HIP ABDUCTION,3,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,SEATED HIP ABDUCTION MACHINE
Block 1,2,4,LOWER #3,HOLLOW BODY HOLD,3,15SEC,7RPE,1MIN,"FLEX YOUR SPINE",,PLANK
Block 1,2,5,LOWER #4,STIFF LEG DEADLIFT,3,6-8,8RPE,3MIN,"BRACE YOUR LATS, HIGH HIPS",,DUMBBELL STIFF LEG SUMO DEADLIFT
Block 1,2,5,LOWER #4,BODYWEIGHT WALKING LUNGE,2,12-15,7RPE,2MIN,"REPS EACH LEG, STRETCH YOUR GLUTES",,SINGLE-LEG LEG PRESS
Block 1,2,5,LOWER #4,KNEE-BANDED BODYWEIGHT HIP THRUST,4,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,BODYWEIGHT HIP THRUST
Block 1,2,5,LOWER #4,SWISS BALL LEG CURL,3,8-12,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,SEATED LEG CURL
Block 1,2,5,LOWER #4,CABLE HIP ABDUCTION,3,10-15,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,2,5,LOWER #4,MACHINE STANDING CALF RAISE,3,8-12,8RPE,1MIN,"PRESS ALL THE WAY UP TO YOUR TOES",,MACHINE SEATED CALF RAISE
Block 1,2,6,UPPER #2,DUMBBELL INCLINE PRESS,3,8-10,8RPE,2MIN,"SHOULDER BLADES BACK AND DOWN",,MACHINE CHEST PRESS
Block 1,2,6,UPPER #2,SUPINATED PULLDOWN,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SINGLE-ARM PULLDOWN
Block 1,2,6,UPPER #2,MACHINE SHOULDER PRESS,3,8-10,8RPE,2MIN,"USE A FULL ROM",,ARNOLD PRESS
Block 1,2,6,UPPER #2,CHEST-SUPPORTED T-BAR ROW,3,12-15,8RPE,2MIN,"FOCUS ON RETRACTING/PROTRACTING YOUR SCAPULAE",,CABLE SEATED ROW
Block 1,2,6,UPPER #2,A1: RESISTANCE BAND LATERAL RAISE,3,7/7/7,8RPE,0MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,CABLE LATERAL RAISE
Block 1,2,6,UPPER #2,A2: SEATED CABLE FACEPULL,3,7/7/7,9RPE,2MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,BAND REVERSE FLY
Block 1,2,6,UPPER #2,B1: SINGLE-ARM CABLE CURL,3,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,HAMMER CURL
Block 1,2,6,UPPER #2,B2: CABLE ROPE TRICEP EXTENSION,3,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,DUMBBELL SKULL CRUSHER
Block 1,3,1,LOWER #1,BACK SQUAT,3,5,75%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 1,3,1,LOWER #1,BARBELL HIP THRUST,3,12-15,8RPE,2MIN,"CHIN AND RIBS TUCKED",,DUMBBELL HIP THRUST
Block 1,3,1,LOWER #1,BARBELL ROMANIAN DEADLIFT,2,10-12,8RPE,2MIN,"KEEP YOUR SPINE NEUTRAL",,DUMBBELL ROMANIAN DEADLIFT
Block 1,3,1,LOWER #1,CABLE STANDING GLUTE KICKBACK,2,12-15,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 1,3,1,LOWER #1,SEATED HIP ABDUCTION MACHINE,2,20-25,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,ANKLE WEIGHT STANDING HIP ABDUCTION
Block 1,3,1,LOWER #1,BICYCLE CRUNCH,3,15-20,8RPE,1MIN,"DON'T YANK YOUR NECK",,CRUNCH
Block 1,3,2,LOWER #2,DEADLIFT,4,4,80%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG DEADLIFT
Block 1,3,2,LOWER #2,FRONT SQUAT,3,10-12,8RPE,3MIN,"SIT STRAIGHT DOWN",,GOBLET SQUAT
Block 1,3,2,LOWER #2,KNEE-BANDED BODYWEIGHT HIP THRUST,2,25-30,8RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED DUMBBELL HIP THRUST
Block 1,3,2,LOWER #2,SEATED LEG CURL,3,10-12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
Block 1,3,2,LOWER #2,LATERAL BAND WALK,3,20,8RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 1,3,2,LOWER #2,MACHINE SEATED HIP ABDUCTION,3,15,7RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,3,3,UPPER #1,DUMBBELL STANDING SHOULDER PRESS,4,8-10,8RPE,2MIN,"USE A FULL ROM",,DUMBBELL SEATED SHOULDER PRESS
Block 1,3,3,UPPER #1,NARROW NEUTRAL-GRIP PULLDOWN,4,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SUPINATED PULLDOWN
Block 1,3,3,UPPER #1,CLOSE-GRIP PUSH-UP,3,8-10,7RPE,2MIN,"TUCK YOUR ELBOWS",,MACHINE CHEST PRESS
Block 1,3,3,UPPER #1,CABLE SEATED ROW,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,MACHINE HIGH ROW
Block 1,3,3,UPPER #1,A1: DUMBBELL LATERAL RAISE,3,15,9RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,MACHINE LATERAL RAISE
Block 1,3,3,UPPER #1,A2: DUMBBELL REAR DELT RAISE,3,15,9RPE,2MIN,"KEEP YOUR SCAPULAE PROTRACTED",,REVERSE PEC DECK
Block 1,3,3,UPPER #1,SEATED FACE PULL,3,15-20,9RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,PRONE TRAP RAISE
Block 1,3,3,UPPER #1,B1: SINGLE-ARM CABLE CURL,2,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,DUMBBELL SUPINATED CURL
Block 1,3,3,UPPER #1,B2: OVERHEAD CABLE TRICEP EXTENSION,2,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,1-ARM OVERHEAD DUMBBELL EXTENSION
Block 1,3,4,LOWER #3,DEFICIT BODYWEIGHT BULGARIAN SPLIT SQUAT,3,10-12,7RPE,2MIN,"FOCUS ON STRETCHING YOUR GLUTES",,DUMBBELL STEP-UP
Block 1,3,4,LOWER #3,SMITH MACHINE HIP THRUST,3,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,LEG EXTENSION HIP THRUST
Block 1,3,4,LOWER #3,BODYWEIGHT REVERSE HYPEREXTENSION,3,15-20,8RPE,2MIN,"SQUEEZE YOUR GLUTES TO RAISE YOUR LEGS",,BAND GLUTE KICKBACK
Block 1,3,4,LOWER #3,45° HYPEREXTENSION,3,12-15,7RPE,2MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,BACK EXTENSION
Block 1,3,4,LOWER #3,BAND SEATED HIP ABDUCTION,3,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,SEATED HIP ABDUCTION MACHINE
Block 1,3,4,LOWER #3,HOLLOW BODY HOLD,3,15SEC,7RPE,1MIN,"FLEX YOUR SPINE",,PLANK
Block 1,3,5,LOWER #4,STIFF LEG DEADLIFT,3,6-8,8RPE,3MIN,"BRACE YOUR LATS, HIGH HIPS",,DUMBBELL STIFF LEG SUMO DEADLIFT
Block 1,3,5,LOWER #4,BODYWEIGHT WALKING LUNGE,2,12-15,7RPE,2MIN,"REPS EACH LEG, STRETCH YOUR GLUTES",,SINGLE-LEG LEG PRESS
Block 1,3,5,LOWER #4,KNEE-BANDED BODYWEIGHT HIP THRUST,4,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,BODYWEIGHT HIP THRUST
Block 1,3,5,LOWER #4,SWISS BALL LEG CURL,3,8-12,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,SEATED LEG CURL
Block 1,3,5,LOWER #4,CABLE HIP ABDUCTION,3,10-15,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,3,5,LOWER #4,MACHINE STANDING CALF RAISE,3,8-12,8RPE,1MIN,"PRESS ALL THE WAY UP TO YOUR TOES",,MACHINE SEATED CALF RAISE
Block 1,3,6,UPPER #2,DUMBBELL INCLINE PRESS,3,8-10,8RPE,2MIN,"SHOULDER BLADES BACK AND DOWN",,MACHINE CHEST PRESS
Block 1,3,6,UPPER #2,SUPINATED PULLDOWN,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SINGLE-ARM PULLDOWN
Block 1,3,6,UPPER #2,MACHINE SHOULDER PRESS,3,8-10,8RPE,2MIN,"USE A FULL ROM",,ARNOLD PRESS
Block 1,3,6,UPPER #2,CHEST-SUPPORTED T-BAR ROW,3,12-15,8RPE,2MIN,"FOCUS ON RETRACTING/PROTRACTING YOUR SCAPULAE",,CABLE SEATED ROW
Block 1,3,6,UPPER #2,A1: RESISTANCE BAND LATERAL RAISE,3,7/7/7,8RPE,0MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,CABLE LATERAL RAISE
Block 1,3,6,UPPER #2,A2: SEATED CABLE FACEPULL,3,7/7/7,9RPE,2MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,BAND REVERSE FLY
Block 1,3,6,UPPER #2,B1: SINGLE-ARM CABLE CURL,3,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,HAMMER CURL
Block 1,3,6,UPPER #2,B2: CABLE ROPE TRICEP EXTENSION,3,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,DUMBBELL SKULL CRUSHER
Block 1,4,1,LOWER #1,BACK SQUAT,3,5,80%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 1,4,1,LOWER #1,BARBELL HIP THRUST,3,12-15,8RPE,2MIN,"CHIN AND RIBS TUCKED",,DUMBBELL HIP THRUST
Block 1,4,1,LOWER #1,BARBELL ROMANIAN DEADLIFT,2,10-12,8RPE,2MIN,"KEEP YOUR SPINE NEUTRAL",,DUMBBELL ROMANIAN DEADLIFT
Block 1,4,1,LOWER #1,CABLE STANDING GLUTE KICKBACK,2,12-15,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 1,4,1,LOWER #1,SEATED HIP ABDUCTION MACHINE,2,20-25,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,ANKLE WEIGHT STANDING HIP ABDUCTION
Block 1,4,1,LOWER #1,BICYCLE CRUNCH,3,15-20,8RPE,1MIN,"DON'T YANK YOUR NECK",,CRUNCH
Block 1,4,2,LOWER #2,DEADLIFT,4,4,82.5%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG DEADLIFT
Block 1,4,2,LOWER #2,FRONT SQUAT,3,10-12,8RPE,3MIN,"SIT STRAIGHT DOWN",,GOBLET SQUAT
Block 1,4,2,LOWER #2,KNEE-BANDED BODYWEIGHT HIP THRUST,2,25-30,8RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED DUMBBELL HIP THRUST
Block 1,4,2,LOWER #2,SEATED LEG CURL,3,10-12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
Block 1,4,2,LOWER #2,LATERAL BAND WALK,3,20,8RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 1,4,2,LOWER #2,MACHINE SEATED HIP ABDUCTION,3,15,7RPE,2MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,4,3,UPPER #1,DUMBBELL STANDING SHOULDER PRESS,4,8-10,8RPE,2MIN,"USE A FULL ROM",,DUMBBELL SEATED SHOULDER PRESS
Block 1,4,3,UPPER #1,NARROW NEUTRAL-GRIP PULLDOWN,4,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SUPINATED PULLDOWN
Block 1,4,3,UPPER #1,CLOSE-GRIP PUSH-UP,3,8-10,7RPE,2MIN,"TUCK YOUR ELBOWS",,MACHINE CHEST PRESS
Block 1,4,3,UPPER #1,CABLE SEATED ROW,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,MACHINE HIGH ROW
Block 1,4,3,UPPER #1,A1: DUMBBELL LATERAL RAISE,3,15,9RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,MACHINE LATERAL RAISE
Block 1,4,3,UPPER #1,A2: DUMBBELL REAR DELT RAISE,3,15,9RPE,2MIN,"KEEP YOUR SCAPULAE PROTRACTED",,REVERSE PEC DECK
Block 1,4,3,UPPER #1,SEATED FACE PULL,3,15-20,9RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,PRONE TRAP RAISE
Block 1,4,3,UPPER #1,B1: SINGLE-ARM CABLE CURL,2,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,DUMBBELL SUPINATED CURL
Block 1,4,3,UPPER #1,B2: OVERHEAD CABLE TRICEP EXTENSION,2,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,1-ARM OVERHEAD DUMBBELL EXTENSION
Block 1,4,4,LOWER #3,DEFICIT BODYWEIGHT BULGARIAN SPLIT SQUAT,3,10-12,7RPE,2MIN,"FOCUS ON STRETCHING YOUR GLUTES",,DUMBBELL STEP-UP
Block 1,4,4,LOWER #3,SMITH MACHINE HIP THRUST,3,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,LEG EXTENSION HIP THRUST
Block 1,4,4,LOWER #3,BODYWEIGHT REVERSE HYPEREXTENSION,3,15-20,8RPE,2MIN,"SQUEEZE YOUR GLUTES TO RAISE YOUR LEGS",,BAND GLUTE KICKBACK
Block 1,4,4,LOWER #3,45° HYPEREXTENSION,3,12-15,7RPE,2MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,BACK EXTENSION
Block 1,4,4,LOWER #3,BAND SEATED HIP ABDUCTION,3,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,SEATED HIP ABDUCTION MACHINE
Block 1,4,4,LOWER #3,HOLLOW BODY HOLD,3,15SEC,7RPE,1MIN,"FLEX YOUR SPINE",,PLANK
Block 1,4,5,LOWER #4,STIFF LEG DEADLIFT,3,6-8,8RPE,3MIN,"BRACE YOUR LATS, HIGH HIPS",,DUMBBELL STIFF LEG SUMO DEADLIFT
Block 1,4,5,LOWER #4,BODYWEIGHT WALKING LUNGE,2,12-15,7RPE,2MIN,"REPS EACH LEG, STRETCH YOUR GLUTES",,SINGLE-LEG LEG PRESS
Block 1,4,5,LOWER #4,KNEE-BANDED BODYWEIGHT HIP THRUST,4,15-20,8RPE,2MIN,"CHIN AND RIBS TUCKED",,BODYWEIGHT HIP THRUST
Block 1,4,5,LOWER #4,SWISS BALL LEG CURL,3,8-12,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,SEATED LEG CURL
Block 1,4,5,LOWER #4,CABLE HIP ABDUCTION,3,10-15,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 1,4,5,LOWER #4,MACHINE STANDING CALF RAISE,3,8-12,8RPE,1MIN,"PRESS ALL THE WAY UP TO YOUR TOES",,MACHINE SEATED CALF RAISE
Block 1,4,6,UPPER #2,DUMBBELL INCLINE PRESS,3,8-10,8RPE,2MIN,"SHOULDER BLADES BACK AND DOWN",,MACHINE CHEST PRESS
Block 1,4,6,UPPER #2,SUPINATED PULLDOWN,3,10-12,8RPE,2MIN,"PULL WITH YOUR ELBOWS AGAINST YOUR SIDES",,SINGLE-ARM PULLDOWN
Block 1,4,6,UPPER #2,MACHINE SHOULDER PRESS,3,8-10,8RPE,2MIN,"USE A FULL ROM",,ARNOLD PRESS
Block 1,4,6,UPPER #2,CHEST-SUPPORTED T-BAR ROW,3,12-15,8RPE,2MIN,"FOCUS ON RETRACTING/PROTRACTING YOUR SCAPULAE",,CABLE SEATED ROW
Block 1,4,6,UPPER #2,A1: RESISTANCE BAND LATERAL RAISE,3,7/7/7,8RPE,0MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,CABLE LATERAL RAISE
Block 1,4,6,UPPER #2,A2: SEATED CABLE FACEPULL,3,7/7/7,9RPE,2MIN,"7 BOTTOM 1/2 REPS, 7 TOP 1/2 REPS, 7 FULL REPS",,BAND REVERSE FLY
Block 1,4,6,UPPER #2,B1: SINGLE-ARM CABLE CURL,3,10,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,HAMMER CURL
Block 1,4,6,UPPER #2,B2: CABLE ROPE TRICEP EXTENSION,3,12,8RPE,2MIN,"FOCUS ON SQUEEZING YOUR TRICEPS",,DUMBBELL SKULL CRUSHER
Block 2,1,1,LOWER #1,BACK SQUAT,2,4,75%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 2,1,1,LOWER #1,STIFF LEG DEADLIFT,2,6-8,7RPE,2MIN,"BRACE YOUR LATS, HIGH HIPS",,DUMBBELL STIFF LEG SUMO DEADLIFT
Block 2,1,1,LOWER #1,BARBELL HIP THRUST,2,12-15,6RPE,2MIN,"CHIN AND RIBS TUCKED",,SMITH MACHINE HIP THRUST
Block 2,1,1,LOWER #1,DUMBBELL 45° HYPEREXTENSION,2,15-20,6RPE,2MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,REVERSE HYPEREXTENSION
Block 2,1,1,LOWER #1,ECCENTRIC-ACCENTUATED LYING LEG CURL,2,8-10,6RPE,1MIN,"3-SECOND LOWERING PHASE",,SLIDING LEG CURL
Block 2,1,1,LOWER #1,MACHINE SEATED HIP ABDUCTION,2,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,KNEE-BANDED HIP ABDUCTION
Block 2,1,1,LOWER #1,RUSSIAN TWIST,2,20,6RPE,1MIN,"ROTATE YOUR TORSO",,BICYCLE CRUNCH
Block 2,1,2,UPPER #1,SEATED DUMBBELL SHOULDER PRESS,3,4-6,7RPE,2MIN,"USE A FULL ROM",,MACHINE SHOULDER PRESS
Block 2,1,2,UPPER #1,PRONATED PULLDOWN,3,6-8,7RPE,2MIN,"PULL WITH YOUR ELBOWS DOWN AND IN",,SINGLE-ARM PULLDOWN
Block 2,1,2,UPPER #1,DUMBBELL INCLINE PRESS,2,10-12,6RPE,2MIN,"SHOULDER BLADES BACK AND DOWN",,MACHINE CHEST PRESS
Block 2,1,2,UPPER #1,CHEST-SUPPORTED T-BAR ROW,2,12-15,7RPE,2MIN,"FOCUS ON RETRACTING/PROTRACTING YOUR SCAPULAE",,CABLE SEATED ROW
Block 2,1,2,UPPER #1,DUMBBELL SKULL CRUSHER,2,8-12,7RPE,1MIN,"KEEP YOUR ELBOWS IN A FIXED POSITION",,V-BAR PRESSDOWN
Block 2,1,2,UPPER #1,HAMMER CURL,2,10-15,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR BICEPS",,EZ BAR CURL
Block 2,1,2,UPPER #1,A1: CABLE LATERAL RAISE,3,12-15,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR DELTS",,DUMBBELL LATERAL RAISE
Block 2,1,2,UPPER #1,A2: HIGH-TO-LOW FACE PULL,3,12-15,8RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,DUMBBELL BENT OVER REAR DELT RAISE
Block 2,1,3,LOWER #2,SUMO DEADLIFT,2,6,72.5%,4MIN,"BRACE YOUR LATS, HIGH HIPS",,STIFF LEG SUMO DEADLIFT
Block 2,1,3,LOWER #2,DEFICIT CURTSY LUNGE,2,10-12,7RPE,2MIN,"ELEVATE 3-5. STRETCH YOUR GLUTES",,DB DEFICIT BULGARIAN SPLIT SQUAT
Block 2,1,3,LOWER #2,KNEE-BANDED MACHINE HIP THRUST,2,50,8RPE,2MIN,"DRIVE YOUR KNEES OUT",,KNEE-BANDED BODYWEIGHT HIP THRUST
Block 2,1,3,LOWER #2,SWISS BALL LEG CURL,2,8-12,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,SEATED LEG CURL
Block 2,1,3,LOWER #2,MACHINE GLUTE KICKDOWN,2,15-20,7RPE,1MIN,"FOCUS ON SQUEEZING YOUR GLUTES",,MACHINE GLUTE KICKBACK
Block 2,1,3,LOWER #2,LATERAL BAND WALK,2,25-30,8RPE,1MIN,"EXTERNALLY ROTATE YOUR HIPS",,CABLE HIP ABDUCTION
Block 2,1,3,LOWER #2,MACHINE STANDING CALF RAISE,3,10-12,8RPE,1MIN,"PRESS ALL THE WAY UP TO YOUR TOES",,MACHINE SEATED CALF RAISE
Block 2,1,4,UPPER #2,CLOSE-GRIP BENCH PRESS,3,5,80%,2MIN,"TUCK YOUR ELBOWS",,BARBELL BENCH PRESS
Block 2,1,4,UPPER #2,SINGLE-ARM PULLDOWN,3,10-12,7RPE,2MIN,"PULL WITH YOUR ELBOWS DOWN AND IN",,NEUTRAL-GRIP PULLDOWN
Block 2,1,4,UPPER #2,MACHINE SHOULDER PRESS,2,12-15,7RPE,2MIN,"USE A FULL ROM",,ARNOLD PRESS
Block 2,1,4,UPPER #2,HAMMER STRENGTH MACHINE ROW,2,12-15,8RPE,2MIN,"PULL WITH YOUR ELBOWS OUT",,DUMBBELL ONE-ARM ROW
Block 2,1,4,UPPER #2,REVERSE PEC DEC,3,12-15,7RPE,1MIN,"KEEP YOUR SCAPULAE PROTRACTED",,SEATED FACE PULL
Block 2,1,4,UPPER #2,PRONE TRAP RAISE,3,15-20,8RPE,1MIN,"PULL YOUR ELBOWS UP AND OUT",,BAND REAR DELT PULL APART
Block 2,1,4,UPPER #2,A1: CONSTANT-TENSION DUMBBELL LATERAL RAISE,3,20-25,8RPE,0MIN,"FOCUS ON SQUEEZING YOUR DELTS",,CONSTANT-TENSION MACHINE SHOULDER PRESS
Block 2,1,4,UPPER #2,A2: DUMBBELL FRONT RAISE,3,15-20,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR DELTS",,PLATE FRONT RAISE
Block 2,1,5,LOWER #3,BACK SQUAT,2,8,70%,3MIN,"SIT YOUR HIPS BACK AND DOWN",,SMITH MACHINE SUMO SQUAT
Block 2,1,5,LOWER #3,DUMBBELL 45° HYPEREXTENSION,2,20-25,7RPE,3MIN,"ROUNDED UPPER BACK, EXTEND YOUR HIPS",,REVERSE HYPEREXTENSION
Block 2,1,5,LOWER #3,PAUSE BARBELL HIP THRUST,2,10-12,7RPE,2MIN,"3-SECOND PAUSE",,PAUSE MACHINE HIP THRUST
Block 2,1,5,LOWER #3,CABLE PULL-THROUGH,2,20-25,7RPE,1MIN,"STRETCH YOUR GLUTES",,DB SUMO RDL
Block 2,1,5,LOWER #3,SEATED LEG CURL,2,12-15,8RPE,1MIN,"FOCUS ON SQUEEZING YOUR HAMSTRINGS",,LYING LEG CURL
